folder,domain_id,value,display_name,description
"",alertafterwake,1,Not at all alert,""
"",alertafterwake,2,Slightly alert,""
"",alertafterwake,3,Fairly alert,""
"",alertafterwake,4,Very alert,""
"",anxietydegree,1,Not at All,""
"",anxietydegree,2,Somewhat,""
"",anxietydegree,3,Moderately So,""
"",anxietydegree,4,Very Much So,""
"",appafterwake,1,Very poor,""
"",appafterwake,2,Fairly poor,""
"",appafterwake,3,Fairly good,""
"",appafterwake,4,Very good,""
"",currentsleepiness,1,Feeling active and vital; alert; wide awake,""
"",currentsleepiness,2,Could function at a high level; but not quite at peak; able to concentrate,""
"",currentsleepiness,3,Relaxed; awake; responsive; but not at full alertness,""
"",currentsleepiness,4,A little foggy; not a peak; let down,""
"",currentsleepiness,5,Fogginess; beginning to lose interest in staying awake; slowed down,""
"",currentsleepiness,6,Sleepiness; prefer to be lying down; fighting sleep; woozy,""
"",currentsleepiness,7,Almost in reverie; sleep onset soon; losing struggle to remain awake,""
"",dependentonalarm,1,Not at all dependent,""
"",dependentonalarm,2,Slightly dependent,""
"",dependentonalarm,3,Fairly dependent,""
"",dependentonalarm,4,Very dependent,""
"",earlytask,1,Would NOT go to bed until after the task was over,""
"",earlytask,2,Would take a nap before the task and sleep for several hours after,""
"",earlytask,3,Would sleep for several hours before the task and take a nap after,""
"",earlytask,4,Would get all your sleep before the task began and not have any sleep after the task,""
"",easygetup,1,Not at all easy,""
"",easygetup,2,Not very easy,""
"",easygetup,3,Fairly easy,""
"",easygetup,4,Very easy,""
"",education,1,8th grade or less,""
"",education,2,9-11 grade,""
"",education,3,12th/high school graduate,""
"",education,4,Some college,""
"",education,5,College bachelor's degree,""
"",education,6,Post graduate college work,""
"",ess,0,Would never dose,""
"",ess,1,Slight chance of dozing,""
"",ess,2,Moderate chance of dozing,""
"",ess,3,High chance of dozing,""
"",ess,4,Not applicable/situation never applies,""
"",gender,M,Male,""
"",gender,F,Female,""
"",healthrating,1,Excellent,""
"",healthrating,2,Very good,""
"",healthrating,3,Good,""
"",healthrating,4,Fair,""
"",healthrating,5,Poor,""
"",hormoneuse,N,Never use,""
"",hormoneuse,P,Past use,""
"",hormoneuse,C,Current use,""
"",idealtime,1,8:00 - 10:00 AM,""
"",idealtime,2,11:00 AM - 1:00 PM,""
"",idealtime,3,3:00 - 5:00 PM,""
"",idealtime,4,7:00 - 9:00 PM,""
"",laterslpprobs,1,Will wake up at usual time and will NOT fall asleep,""
"",laterslpprobs,2,Will wake up at usual time and will doze thereafter,""
"",laterslpprobs,3,"Will wake up at usual time, but will fall asleep again",""
"",laterslpprobs,4,Will not wake up until later than usual,""
"",neverorrarely5,1,Never or rarely - only once or a few times ever,""
"",neverorrarely5,2,Sometimes - a few night per month; under special circumstances,""
"",neverorrarely5,3,"At least once a week, but pattern may be irregular",""
"",neverorrarely5,4,Several (3 to 5) nights per week,""
"",neverorrarely5,5,Every night or almost every night,""
"",neverorrarely5,9,Do not know,""
"",neverorrarely7,1,Never or rarely - only once or a few times ever,""
"",neverorrarely7,2,Sometimes - a few night per month; under special circumstances,""
"",neverorrarely7,3,"At least once a week, but pattern may be irregular",""
"",neverorrarely7,4,Several (3 to 7) nights per week,""
"",neverorrarely7,9,Do not know,""
"",neverrarely,0,Never,""
"",neverrarely,1,Rarely (once a month),""
"",neverrarely,2,Sometimes (2-4 times a month),""
"",neverrarely,3,Often (5-15 times a month),""
"",neverrarely,4,Almost always (16-30 times a month),""
"",noneoralittle,1,None or a little of the time,""
"",noneoralittle,2,Some of the time,""
"",noneoralittle,3,A good part of the time,""
"",noneoralittle,4,Most or all of the time,""
"",noneoralittlerev,4,None or a little of the time,""
"",noneoralittlerev,3,Some of the time,""
"",noneoralittlerev,2,A good part of the time,""
"",noneoralittlerev,1,Most or all of the time,""
"",noworkbedtime,1,Seldom or never later,""
"",noworkbedtime,2,Less than one hour later,""
"",noworkbedtime,3,1 to 2 hours later,""
"",noworkbedtime,4,More than 2 hours later,""
"",noyes01,0,No,""
"",noyes01,1,Yes,""
"",noyesNY,N,No,""
"",noyesNY,Y,Yes,""
"",performance,1,Would be in good form,""
"",performance,2,Would be in reasonable form,""
"",performance,3,Would find it difficult,""
"",performance,4,Would find it very difficult,""
"",period,0,Regular periods,""
"",period,1,Irregular periods,""
"",period,2,Periods stopped due to menopause,""
"",period,4,Surgery,""
"",pptrace,W,White,""
"",pptrace,B,Black,""
"",pptrace,H,Hispanic,""
"",pptrace,N,Native American,""
"",pptrace,A,Asian,""
"",shifttype,1,Daytime hours,""
"",shifttype,2,Night shift,""
"",shifttype,3,Rotating shift,""
"",shifttype,8,Does not apply,""
"",slplastnight,1,Much worse than usual,""
"",slplastnight,2,Somewhat worse than usual,""
"",slplastnight,3,As well as usual,""
"",slplastnight,4,A little better than usual,""
"",slplastnight,5,Much better than usual,""
"",slpprobfreq,0,Never,""
