folder,id,display_name,description,type,units,domain,labels,calculation,commonly_used,forms
Administrative,wsc_id,Unique Identifier,Randomly generated,identifier,,,,,,
Administrative, wsc_vst,Study Visit Number,Sequential Visit,identifier,,,,,,
Administrative,wsc_id,Unique Identifier,Randomly generated,identifier,,,,,,
Administrative,wscid,Wsc Id,,identifier,,,,,TRUE,
Anxiety,state,State Anxiety Score ,"Sum of 20 items from State Anxiety Questionnaire. When there are 2 or less missing, the average of all of the other scores are used to create the sum variable",numeric,,,,,,
Anxiety,state_01calm,State Anxiety: I feel calm,,choices,,anxietydegree,,,,
Anxiety,state_02secure,State Anxiety: I feel secure,,choices,,anxietydegree,,,,
Anxiety,state_03tense,State Anxiety: I am tense,,choices,,anxietydegree,,,,
Anxiety,state_04strained,State Anxiety: I feel strained,,choices,,anxietydegree,,,,
Anxiety,state_05ease,State Anxiety: I feel at ease,,choices,,anxietydegree,,,,
Anxiety,state_06upset,State Anxiety: I feel upset,,choices,,anxietydegree,,,,
Anxiety,state_07misfortunes,State Anxiety: I am presently worrying over possible misfortunes,,choices,,anxietydegree,,,,
Anxiety,state_08satisfied,State Anxiety: I feel satisfied,,choices,,anxietydegree,,,,
Anxiety,state_09frightened,State Anxiety: I feel frightened,,choices,,anxietydegree,,,,
Anxiety,state_10comfortable,State Anxiety: I feel comfortable,,choices,,anxietydegree,,,,
Anxiety,state_11confident,State Anxiety: I feel self-confident,,choices,,anxietydegree,,,,
Anxiety,state_12nervous,State Anxiety: I feel nervous,,choices,,anxietydegree,,,,
Anxiety,state_13jittery,State Anxiety: I am jittery,,choices,,anxietydegree,,,,
Anxiety,state_14indecisive,State Anxiety: I feel indecisive,,choices,,anxietydegree,,,,
Anxiety,state_15relaxed,State Anxiety: I am relaxed,,choices,,anxietydegree,,,,
Anxiety,state_16content,State Anxiety: I feel content,,choices,,anxietydegree,,,,
Anxiety,state_17worried,State Anxiety: I am worried,,choices,,anxietydegree,,,,
Anxiety,state_18confused,State Anxiety: I feel confused,,choices,,anxietydegree,,,,
Anxiety,state_19steady,State Anxiety: I feel steady,,choices,,anxietydegree,,,,
Anxiety,state_20pleasant,State Anxiety: I am presently worrying over possible misfortunes,,choices,,anxietydegree,,,,
Anxiety,trait,Trait Anxiety Score ,"Sum of 20 items from Trait Anxiety Questionnaire. When there are 2 or less missing, the average of all of the other scores are used to create the sum variable",numeric,,,,,,
Blood Lab Results, creatinine,Creatinine,Measure of Creatinine level in Blood,numeric,mg/dL,,,,,
Blood Lab Results, glucose,Glucose,Measure of Glucose level in Blood,numeric,mg/dL,,,,,
Blood Lab Results, hdl,High-density Lipoprotein (HDL) Cholesterol ,Measure of HDL level in Blood,numeric,mg/dL,,,,,
Blood Lab Results, ldl,Low-density Lipoprotein (LDL) Cholesterol ,Measure of LDL level in Blood,numeric,mg/dL,,,,,
Blood Lab Results, total_cholesterol,Total Cholesterol,Measure of Total Cholesterol level in Blood,numeric,mg/dL,,,,,
Blood Lab Results, triglycerides,Triglycerides,Measure of Triglyceride level in Blood,numeric,mg/dL,,,,,
Blood Lab Results, uric_acid,Uric Acid,Measure of Uric Acid level in Blood,numeric,mg/dL,,,,,
