folder,id,display_name,description,type,units,domain,labels,calculation,commonly_used,forms
Sleep Monitoring/Polysomnography/Evening and Morning Survey,a_eval_hour,Self report sleep duration the morning after type I polysomnography,About how many hours of restful sleep do you feel you got last night?,numeric,hours,,,,,
Sleep Monitoring/Polysomnography/Evening and Morning Survey,a_eval_sleep,Stanford sleepiness scale the morning after  type I polysomnography,"Finally, we would like you to rate how sleepy you feel right now, just as you did last night before sleep. The scale ranges from 1 to 7, with 7 being the most sleepy. Please read the entire scale below and then check the level that best describes your current state of sleepiness.",choices,,currentsleepiness,,,,
Sleep Monitoring/Polysomnography/Evening and Morning Survey,a_eval_slept,Self-reported sleep quality the morning after  type I polysomnography,How well did you sleep last night? (Please check one),choices,,slplastnight,,,,
Demographics,age,Age of the participant,Age at time of study visit,integer,years (truncated),,,,TRUE,
Sleep Monitoring/Polysomnography,ahi,Apnea-Hypopnea Index: (Apneas with no oxygen desaturation threshold used and with or without arousal and hypopneas with discernible flow reduction and with >= 4% oxygen desaturation and with or without arousal) / hours of sleep from type I polysomnography,Calculated - Summary metric of sleep disordered breathing events,numeric,events/hour,,ahi_ap0uhp3x4u_f1t1,,TRUE,
Lifestyle and Behavioral Health,alcohol_wk,"Alcohol consumption, number of beverages per week",,numeric,beverages/week,,,"sum(of beer_week, hard_week, wine_week), 0 if nondrinker=""Y""",,
Medical History/Medications,androgen_med,Androgen: Self-reported use,"Self reported drugs at PSG visit, open text then grouped according to effect",choices,,takingornot,,,,
Medical History,angina_year,Angina: Self-reported year of diagnosis,"If yes, indicate how many years ago ____ or the year ____ you were diagnosed. (if ANGINA? =""Y"")",numeric,year,,,,,
Medical History,angina_ynd,Angina: Self-reported diagnosis by a physician,The next section asks about specific medical problems. Please indicate if you have been told by a doctor that you have or have had any of these conditions.:  ANGINA?  ___Yes       ___No,choices,,noyesny,,,,
Medical History,angioplasty_ynd,Coronary Angioplasty: Self-reported,Have you ever had any of the following surgical procedures? Coronary or balloon angioplasty ,choices,,noyesny,,,,
Clinical Data/Vital Signs/Blood Pressure,ankle_left_repeat,"First repeat of blood pressure from left ankle, if needed",Brachial blood pressure by Dopler at the overnight PSG,numeric,mm Hg,,,,,
Clinical Data/Vital Signs/Blood Pressure,ankle_left_repeat2,"Second repeat of blood pressure from left ankle, if needed",Brachial blood pressure by Dopler at the overnight PSG,numeric,mm Hg,,,,,
Clinical Data/Vital Signs/Blood Pressure,ankle_left1,First blood pressure from left ankle,Brachial blood pressure by Dopler at the overnight PSG,numeric,mm Hg,,,,,
Clinical Data/Vital Signs/Blood Pressure,ankle_left2,Second blood pressure from left ankle,Brachial blood pressure by Dopler at the overnight PSG,numeric,mm Hg,,,,,
Clinical Data/Vital Signs/Blood Pressure,ankle_right_repeat,"First repeat of blood pressure from right ankle, if needed",Brachial blood pressure by Dopler at the overnight PSG,numeric,mm Hg,,,,,
Clinical Data/Vital Signs/Blood Pressure,ankle_right_repeat2,"Second repeat of blood pressure from right ankle, if needed",Brachial blood pressure by Dopler at the overnight PSG,numeric,mm Hg,,,,,
Clinical Data/Vital Signs/Blood Pressure,ankle_right1,First blood pressure from right ankle,Brachial blood pressure by Dopler at the overnight PSG,numeric,mm Hg,,,,,
Clinical Data/Vital Signs/Blood Pressure,ankle_right2,Second blood pressure from right ankle,Brachial blood pressure by Dopler at the overnight PSG,numeric,mm Hg,,,,,
Medical History/Medications,antihistamines_med,Antihistamine: Self-reported use,"Self reported drugs at PSG visit, open text then grouped according to effect",choices,,takingornot,,,,
Medical History/Medications,anxiety_med,Anti-Anxiety Medication: Self-reported use,"Self reported drugs at PSG visit, open text then grouped according to effect",choices,,takingornot,,,,
Medical History,any_cvd,Cardiovascular Disease: Self-reported,"1=Yes if Y to any of the following: heartattack_ynd, congestive_hf_ynd, coronary_ynd, atheroscl_ynd, pacemaker_ynd, angioplasty_ynd, coronary_bypass_ynd, coronary_artery_stent, other_heart_surgery (including   cardiac conversion, heart catheter, cardiac ablation, abdominal aortic repair, open heart surgery, defibrillation)",choices,,noyes01,,,,
Sleep Questionnaires/Sleep Disturbance,anyinsomnia,Indicator for insomnia symptoms,"Calculated: If any of the four insomnia symptoms (i.e. difficulty falling asleep, difficulty falling back to sleep, waking up frequently, waking up too early) have a frequency of more than 5-15 time a month, then 1: yes.",choices,,noyes01,insomnia,"1=Yes if Y any of the following were a 3 or 4 (ps_diff, ps_backsleep, ps_wakerepeat, ps_tooearly), 0=all 4 variables were 0, 1, or 2",,
Sleep Questionnaires/Sleep Disorder,apnea,Apnea: Self-reported diagnosis by a physician,Have you ever been told by a doctor that you have sleep apnea? ,choices,,noyesny,sdb,,TRUE,
Sleep Questionnaires/Sleep Disorder,apnea_freq,Apnea: Self-reported frequency,"According to what others have told you, or to your own awareness, how often, if ever, do you have momentary periods during sleep when you stop breathing or you breathe abnormally?",choices,,neverorrarely7,sdb,,,
Sleep Questionnaires/Sleep Disorder,apnea_need,Apnea: Self-reported treatment need,Were you told you needed treatment? ___Yes       ___No (reported Y told by a doctor that they had sleep apnea),choices,,noyesny,sdb,,,
Sleep Questionnaires/Sleep Disorder,apnea_treated,Apnea: Self-reported treatment received,"Did you have the treatment? (when told ""Y"" needed treatment for sleep apnea)",choices,,noyesny,sdb,,,
Sleep Questionnaires/Sleep Disorder,apnea_treatment_help,Apnea: Self-reported treatment effect,Did the treatment help (check one)?,choices,,treatmenthelp,sdb,,,
Administrative,apnea_treatment_year,Year of apnea treatment,,integer,year,,,,,
Sleep Questionnaires/Sleep Disorder,apnea_treatment1,Apnea: Self-reported treatment recommendation 1,"If yes, what treatment was recommended? (When told ""Y"" need treatment for sleep apnea)",text,,,sdb,,,
Sleep Questionnaires/Sleep Disorder,apnea_treatment2,Apnea: self-reported treatment recommendation 2,"If yes, what treatment was recommended? (When told ""Y"" need treatment for sleep apnea)",text,,,sdb,,,
Sleep Questionnaires/Sleep Disorder,apnea_treatment3,Apnea: Self-reported treatment recommendation 3,"If yes, what treatment was recommended? (When told ""Y"" need treatment for sleep apnea)",text,,,sdb,,,
Sleep Questionnaires/Sleep Disorder,apnea_year,Apnea: Self-reported year of diagnosis,"If yes, when was this? ______ Year",integer,year,,sdb,,,
Clinical Data/Vital Signs/Blood Pressure,arm_left_repeat,"First repeat of blood pressure from left arm, if needed",Brachial blood pressure by Dopler at the overnight PSG,numeric,mm Hg,,,,,
Clinical Data/Vital Signs/Blood Pressure,arm_left_repeat2,"Second repeat of blood pressure from left arm, if needed",Brachial blood pressure by Dopler at the overnight PSG,numeric,mm Hg,,,,,
Clinical Data/Vital Signs/Blood Pressure,arm_left1,First blood pressure from left arm,Brachial blood pressure by Dopler at the overnight PSG,numeric,mm Hg,,,,,
Clinical Data/Vital Signs/Blood Pressure,arm_left2,Second blood pressure from left arm,Brachial blood pressure by Dopler at the overnight PSG,numeric,mm Hg,,,,,
Clinical Data/Vital Signs/Blood Pressure,arm_right_repeat,"First repeat of blood pressure from right arm, if needed",Brachial blood pressure by Dopler at the overnight PSG,numeric,mm Hg,,,,,
Clinical Data/Vital Signs/Blood Pressure,arm_right_repeat2,"Second repeat of blood pressure from right arm, if needed",Brachial blood pressure by Dopler at the overnight PSG,numeric,mm Hg,,,,,
Clinical Data/Vital Signs/Blood Pressure,arm_right1,First blood pressure from right arm,Brachial blood pressure by Dopler at the overnight PSG,numeric,mm Hg,,,,,
Clinical Data/Vital Signs/Blood Pressure,arm_right2,Second blood pressure from right arm,Brachial blood pressure by Dopler at the overnight PSG,numeric,mm Hg,,,,,
Medical History,arrhythmia_year,Arrhythmia: Self-reported year of diagnosis,"If yes, indicate how many years ago ____ or the year ____ you were diagnosed. (if Irregular heartbeat or arrhythmia? =""Y"")",numeric,year,,,,,
Medical History,arrhythmia_ynd,Arrythmia: Self-reported diagnosis by a physician,The next section asks about specific medical problems. Please indicate if you have been told by a doctor that you have or have had any of these conditions.:  Irregular heartbeat or arrhythmia?  ___Yes       ___No,choices,,noyesny,,,,
Medical History,arthritis_year,Arthritis: Self-reported year of diagnosis,"If yes, indicate how many years ago ____ or the year ____ you were diagnosed. (if Arthritis?=""Y"")",numeric,year,,,,,
Medical History,arthritis_ynd,Arthritis: Self-reported diagnosis by a physician,The next section asks about specific medical problems. Please indicate if you have been told by a doctor that you have or have had any of these conditions.:  Arthritis? ___Yes       ___No,choices,,noyesny,,,,
Medical History/Medications,asthma_control_med,"Asthma Medication, control: Self-reported use","Self reported drugs at PSG visit, open text then grouped according to effect",choices,,takingornot,,,,
Medical History/Medications,asthma_med,"Asthma Medication, any: Self-reported use","Self reported drugs at PSG visit, open text then grouped according to effect",choices,,takingornot,,,,
Medical History/Medications,asthma_rescue_med,"Asthma Medication, rescue: Self-reported use","Self reported drugs at PSG visit, open text then grouped according to effect",choices,,takingornot,,,,
Medical History,asthma_year,Asthma: Self-reported year of diagnosis,"If yes, indicate how many years ago ____ or the year ____ you were diagnosed. (if Asthma?=""Y"")",numeric,year,,,,,
Medical History,asthma_ynd,Asthma: Self-reported diagnosis by a physician,The next section asks about specific medical problems. Please indicate if you have been told by a doctor that you have or have had any of these conditions.:  Asthma? ___Yes       ___No,choices,,noyesny,,,,
Medical History,atheroscl_year,Atherosclerosis: Self-reported year of diagnosis,"If yes, indicate how many years ago ____ or the year ____ you were diagnosed. (if Atherosclerosis (hardening of the arteries)? =""Y"")",numeric,year,,,,,
Medical History,atheroscl_ynd,Atherosclerosis: Self-reported diagnosis by a physician,The next section asks about specific medical problems. Please indicate if you have been told by a doctor that you have or have had any of these conditions.:  Atherosclerosis (hardening of the arteries)?  ___Yes       ___No,choices,,noyesny,,,,
Sleep Monitoring/Polysomnography,avgo2sattst,Average oxygen saturation in total sleep duration from type I polysomnography,"Conventionally, total sleep duration would be called total sleep time (TST)(i.e. total time spent in stage 1 or greater).",numeric,,,avglvlsa_dsgt0_f1t1,,,
Sleep Questionnaires/Sleep Disorder,awake_freq,Frequency of awake with gasping or choking,"How often, if ever, have you awakened suddenly with the feeling of gasping or choking?",choices,,neverorrarely5,sdb,,,
Lifestyle and Behavioral Health,beer_week,"Alcohol consumption, number of beers per week","Please estimate your usual consumption of alcoholic beverages,How many cans or bottles of beer might you have per week? ",numeric,cans/bottles,,,,,
Anthropometry,bmi,Body mass index (BMI),,numeric,kg/m squared,,,,TRUE,
Lifestyle and Behavioral Health,bowls_day,"Pipe smoking, number of bowls per day","How much do you smoke now, OR if you quit smoking, how much did you smoke in the past (answer all that apply)? Bowls of pipe tobacco per day",integer,,,,,,
