folder,id,display_name,description,type,units,domain,labels,calculation,commonly_used,forms
Administrative, wsc_id,Unique Identifier,Randomly generated,identifier,,,,,,
Administrative, wsc_vst,Study Visit Number,Sequential Visit,identifier,,,,,,
,vst_year,Year of PSG,,numeric,year,,,,,
Anxiety,Trait,Trait Anxiety Score ,"Sum of 20 items from Trait Anxiety Questionnaire. When there are 2 or less missing, the average of all of the other scores are used to create the sum variable",numeric,,,,,,
Anxiety,State,State Anxiety Score ,"Sum of 20 items from State Anxiety Questionnaire. When there are 2 or less missing, the average of all of the other scores are used to create the sum variable",numeric,,,,,,
Blood Lab Results, CREATININE,Creatinine,Measure of Creatinine level in Blood,numeric,mg/dL,,,,,
Blood Lab Results, GLUCOSE,Glucose,Measure of Glucose level in Blood,numeric,mg/dL,,,,,
Blood Lab Results, HDL,High-density Lipoprotein (HDL) Cholesterol ,Measure of HDL level in Blood,numeric,mg/dL,,,,,
Blood Lab Results, LDL,Low-density Lipoprotein (LDL) Cholesterol ,Measure of LDL level in Blood,numeric,mg/dL,,,,,
Blood Lab Results, TOTAL_CHOLESTEROL,Total Cholesterol,Measure of Total Cholesterol level in Blood,numeric,mg/dL,,,,,
Blood Lab Results, TRIGLYCERIDES,Triglycerides,Measure of Triglyceride level in Blood,numeric,mg/dL,,,,,
Blood Lab Results, URIC_ACID,Uric Acid,Measure of Uric Acid level in Blood,numeric,mg/dL,,,,,
Blood Pressure, ANKLE_LEFT1,First Blood Pressure from Left Ankle,Brachial blood pressure by Dopler at the overnight PSG,numeric,mm Hg,,,,,
Blood Pressure, ANKLE_LEFT2,Second Blood Pressure from Left Ankle,Brachial blood pressure by Dopler at the overnight PSG,numeric,mm Hg,,,,,
Blood Pressure, ANKLE_LEFT_REPEAT,"First repeat of Blood Pressure from Left Ankle, if needed",Brachial blood pressure by Dopler at the overnight PSG,numeric,mm Hg,,,,,
Blood Pressure, ANKLE_LEFT_REPEAT2,"Second repeat of Blood Pressure from Left Ankle, if needed",Brachial blood pressure by Dopler at the overnight PSG,numeric,mm Hg,,,,,
Blood Pressure, ANKLE_RIGHT1,First Blood Pressure from Right Ankle,Brachial blood pressure by Dopler at the overnight PSG,numeric,mm Hg,,,,,
Blood Pressure, ANKLE_RIGHT2,Second Blood Pressure from Right Ankle,Brachial blood pressure by Dopler at the overnight PSG,numeric,mm Hg,,,,,
Blood Pressure, ANKLE_RIGHT_REPEAT,"First repeat of Blood Pressure from Right Ankle, if needed",Brachial blood pressure by Dopler at the overnight PSG,numeric,mm Hg,,,,,
Blood Pressure, ANKLE_RIGHT_REPEAT2,"Second repeat of Blood Pressure from Right Ankle, if needed",Brachial blood pressure by Dopler at the overnight PSG,numeric,mm Hg,,,,,
Blood Pressure, ARM_LEFT1,First Blood Pressure from Left Arm,Brachial blood pressure by Dopler at the overnight PSG,numeric,mm Hg,,,,,
Blood Pressure, ARM_LEFT2,Second Blood Pressure from Left Arm,Brachial blood pressure by Dopler at the overnight PSG,numeric,mm Hg,,,,,
Blood Pressure, ARM_LEFT_REPEAT,"First repeat of Blood Pressure from Left Arm, if needed",Brachial blood pressure by Dopler at the overnight PSG,numeric,mm Hg,,,,,
